"Data extracted from 'diurnal.c' obtained from Mike Wotton, Canadian Forest Service, Natural Resources Canada, 705-759-5740 x2176 mwotton@nrcan.gc.ca"
"HIGHRH(9,39)"
9999,17.5,30.0,40.0,50.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,100.9,101.0
600, 28.2,33.4,37.9,42.9,45.6,48.5,51.7,55.1,56.5,58.0,58.8,59.5,60.3,61.2,62.0,62.9,63.7,64.6,65.5,66.5,67.4,68.4,69.4,70.5,71.6,72.7,73.8,75.0,76.2,77.4,78.7,80.0,81.4,82.7,84.1,85.4 , 86.3, 86.3
700, 30.0,34.8,39.0,43.8,46.5,49.4,52.5,55.9,57.3,58.8,59.6,60.4,61.2,62.1,62.9,63.8,64.7,65.7,66.6,67.6,68.6,69.6,70.7,71.8,72.9,74.1,75.3,76.5,77.8,79.1,80.5,81.9,83.3,84.8,86.2,87.6 , 88.4, 88.4
800, 31.9,36.2,40.2,44.8,47.4,50.2,53.3,56.7,58.2,59.7,60.5,61.3,62.2,63.0,63.9,64.8,65.7,66.7,67.7,68.7,69.8,70.8,71.9,73.1,74.3,75.5,76.8,78.1,79.4,80.8,82.3,83.8,85.3,86.9,88.4,89.8 , 90.6, 90.6
900, 37.7,42.1,46.1,50.5,52.9,55.5,58.4,61.5,62.8,64.2,64.9,65.6,66.4,67.1,67.9,68.7,69.5,70.4,71.3,72.1,73.1,74.0,75.0,76.0,77.0,78.1,79.2,80.3,81.5,82.7,84.0,85.3,86.7,88.1,89.5,90.8 , 91.7, 91.7
1000,44.4,48.9,52.7,56.8,59.1,61.4,63.9,66.7,67.8,69.0,69.6,70.2,70.9,71.5,72.2,72.9,73.6,74.3,75.0,75.8,76.6,77.3,78.2,79.0,79.9,80.8,81.7,82.6,83.6,84.7,85.8,86.9,88.0,89.3,90.5,91.8 , 92.8, 92.8
1100,52.1,56.5,60.2,63.9,65.9,67.9,70.1,72.3,73.3,74.3,74.9,75.5,76.1,76.6,77.2,77.8,78.4,79.0,79.5,80.1,80.7,81.2,81.8,82.4,82.9,83.5,84.0,84.6,85.1,85.6,86.2,86.9,88.0,89.3,90.5,91.8 , 92.8, 92.8
1159,60.9,65.2,68.6,71.8,73.5,75.1,76.7,78.4,79.1,79.8,80.2,80.5,80.8,81.2,81.5,81.8,82.1,82.5,82.8,83.1,83.4,83.7,84.0,84.3,84.6,84.9,85.2,85.5,85.8,86.1,86.4,86.9,88.0,89.3,90.5,91.8 , 92.8, 92.8
1200,60.9,65.2,68.6,71.8,73.5,75.1,76.7,78.4,79.1,79.8,80.2,80.5,80.8,81.2,81.5,81.8,82.1,82.5,82.8,83.1,83.4,83.7,84.0,84.3,84.6,84.9,85.2,85.5,85.8,86.1,86.4,86.9,88.0,89.3,90.5,91.8 , 92.8, 92.8
"MAINTBL(22,39)"
9999,17.5,30.0,40.0,50.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,100.9,101.0
100 ,23.4,32.9,40.5,47.8,51.4,54.9,58.3,61.8,63.3,64.8,65.5,66.3,67.1,67.9,68.8,69.6,70.5,71.4,72.3,73.2,74.1,75.1,76.1,77.1,78.1,79.1,80.2,81.3,82.4,83.5,84.7,85.9,87.1,88.3,89.5,90.7 , 91.6, 91.6
